asset_id,display_name,description,problem_path,answer_path,split,created_at
dinosaur,공룡,"A 3D smooth white clay model of a dinosaur standing still in a void, frontal view, pure white on a solid black background, high contrast, sharp edges.",dinosaur\dinosaur_1_prob.png,dinosaur\dinosaur_1_ans.png,test,2026-03-07 11:12:47
dinosaur,공룡,"A 3D smooth white clay model of a fierce dinosaur posed in a static stance, frontal view, pure white on a solid black background, high contrast, sharp edges.",dinosaur\dinosaur_2_prob.png,dinosaur\dinosaur_2_ans.png,train,2026-03-07 11:15:34
elephant,코끼리,"A 3D smooth white clay model of a majestic elephant in a static pose, frontal view, pure white on a solid black background, high contrast, sharp edges.",elephant\elephant_1_prob.png,elephant\elephant_1_ans.png,train,2026-03-07 11:18:33
elephant,코끼리,"A 3D smooth white clay model of an elephant standing in a void, frontal view, pure white on a solid black background, high contrast, sharp edges.",elephant\elephant_2_prob.png,elephant\elephant_2_ans.png,val,2026-03-07 11:21:39
rocket,로켓,"A 3D smooth white clay model of a sleek rocket in a static pose, frontal view, pure white on a solid black background, high contrast, sharp edges.",rocket\rocket_1_prob.png,rocket\rocket_1_ans.png,val,2026-03-07 11:24:41
rocket,로켓,"A 3D smooth white clay model of a sleek rocket standing upright in a void, frontal view, pure white on a solid black background, high contrast, sharp edges.",rocket\rocket_2_prob.png,rocket\rocket_2_ans.png,train,2026-03-07 11:27:47
guitar,기타,"A 3D smooth white clay model of a guitar hovering in a void, frontal view, pure white on a solid black background, high contrast, sharp edges.",guitar\guitar_1_prob.png,guitar\guitar_1_ans.png,train,2026-03-07 11:46:11
guitar,기타,"A 3D smooth white clay model of a guitar tilted at a 45-degree angle, floating in a void, pure white on a solid black background, high contrast, sharp edges.",guitar\guitar_2_prob.png,guitar\guitar_2_ans.png,train,2026-03-07 11:48:54
dinosaur,공룡,"A 3D smooth white clay model of a fierce dinosaur standing in a void, frontal view, pure white on a solid black background, high contrast, sharp edges.",dinosaur\dinosaur_3_prob.png,dinosaur\dinosaur_3_ans.png,train,2026-03-07 18:06:42
dinosaur,공룡,"A 3D smooth white clay model of a fierce dinosaur in a static pose, frontal view, floating in a void, pure white on a solid black background, high contrast, sharp edges.",dinosaur\dinosaur_4_prob.png,dinosaur\dinosaur_4_ans.png,train,2026-03-07 18:07:56
dinosaur,공룡,"A 3D smooth white clay model of a fierce dinosaur standing still, frontal view, pure white on a solid black background, high contrast, sharp edges.",dinosaur\dinosaur_5_prob.png,dinosaur\dinosaur_5_ans.png,train,2026-03-07 18:09:11
